matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
404,08.05.2003,19:00,Al Ahli SC,Al Qadisiya,3,0,
405,15.05.2003,18:30,Al-Nassr,Al Qadisiya,0,1,Quarter-finals
406,22.05.2003,18:30,Al Ahli SC,Al Qadisiya,3,2,Semi-finals
407,29.05.2003,18:30,Al-Ittihad FC,Al Ahli SC,3,2,Final
408,28.08.2003,19:00,Al-Shabab,Al Taee,7,0,
409,28.08.2003,19:00,Al-Ettifaq,Al-Hilal,0,0,
410,29.08.2003,19:00,Al-Nassr,Al-Shoalah,3,0,
411,29.08.2003,19:00,Al Qadisiya,Al Riyadh,4,0,
412,29.08.2003,19:00,Al Khaleej,Al-Ittihad FC,0,4,
413,03.09.2003,19:00,Al-Shoalah,Al Ahli SC,3,1,
414,03.09.2003,19:00,Al-Hilal,Al-Shabab,2,2,
415,03.09.2003,19:00,Al Taee,Al-Nassr,1,2,
416,04.09.2003,19:00,Al-Ittihad FC,Al Wehda,4,2,
417,04.09.2003,19:00,Al-Ettifaq,Al Qadisiya,4,2,
418,04.09.2003,19:00,Al Riyadh,Al Khaleej,2,0,
419,11.09.2003,19:00,Al-Nassr,Al-Hilal,1,1,
420,11.09.2003,19:00,Al Wehda,Al-Shoalah,2,1,
421,11.09.2003,19:00,Al Qadisiya,Al-Shabab,1,1,
422,11.09.2003,19:00,Al Ahli SC,Al Taee,1,0,
423,12.09.2003,19:00,Al Riyadh,Al-Ittihad FC,1,2,
424,12.09.2003,19:00,Al Khaleej,Al-Ettifaq,1,2,
425,16.09.2003,19:00,Al-Shabab,Al Khaleej,1,4,
426,16.09.2003,19:00,Al-Ittihad FC,Al-Shoalah,3,1,
427,16.09.2003,19:00,Al-Hilal,Al Ahli SC,2,1,
428,16.09.2003,19:00,Al-Ettifaq,Al Riyadh,0,1,
429,16.09.2003,19:00,Al Taee,Al Wehda,1,6,
430,16.09.2003,19:00,Al Qadisiya,Al-Nassr,1,2,
431,19.09.2003,19:00,Al Wehda,Al-Hilal,3,2,
432,20.09.2003,19:00,Al-Shoalah,Al Taee,1,0,
433,20.09.2003,19:00,Al-Nassr,Al Khaleej,2,1,
434,20.09.2003,19:00,Al-Ittihad FC,Al-Ettifaq,5,0,
435,20.09.2003,19:00,Al Riyadh,Al-Shabab,1,3,
436,25.09.2003,19:00,Al-Shabab,Al-Ettifaq,4,3,
437,25.09.2003,19:00,Al Wehda,Al Qadisiya,0,1,
438,25.09.2003,19:00,Al Khaleej,Al Ahli SC,2,0,
439,26.09.2003,19:00,Al-Shoalah,Al-Hilal,0,3,
440,26.09.2003,19:00,Al Taee,Al-Ittihad FC,0,3,
441,26.09.2003,19:00,Al Riyadh,Al-Nassr,0,3,
442,19.10.2003,19:00,Al Khaleej,Al Wehda,4,6,
443,20.10.2003,19:00,Al-Ittihad FC,Al-Shabab,4,3,
444,20.10.2003,19:00,Al-Hilal,Al Taee,1,2,
445,20.10.2003,19:00,Al Qadisiya,Al-Shoalah,4,0,
446,21.10.2003,19:00,Al-Ettifaq,Al-Nassr,1,1,
447,21.10.2003,19:00,Al Ahli SC,Al Riyadh,1,1,
448,24.10.2003,19:00,Al-Hilal,Al-Ittihad FC,0,0,
449,24.10.2003,19:00,Al Taee,Al Qadisiya,3,1,
450,25.10.2003,19:00,Al-Shoalah,Al Khaleej,3,3,
451,25.10.2003,19:00,Al-Nassr,Al-Shabab,2,1,
452,25.10.2003,19:00,Al Wehda,Al Riyadh,0,0,
453,25.10.2003,19:00,Al Ahli SC,Al-Ettifaq,1,1,
454,28.10.2003,20:00,Al Ahli SC,Al Wehda,1,0,
455,30.10.2003,20:00,Al-Ettifaq,Al Wehda,1,1,
456,30.10.2003,20:00,Al Riyadh,Al-Shoalah,3,2,
457,31.10.2003,20:00,Al Khaleej,Al Taee,1,2,
458,07.11.2003,20:00,Al-Shoalah,Al-Ettifaq,0,3,
459,07.11.2003,20:00,Al-Ittihad FC,Al Qadisiya,2,1,
460,07.11.2003,20:00,Al-Hilal,Al Khaleej,2,0,
461,07.11.2003,20:00,Al Taee,Al Riyadh,0,0,
462,08.11.2003,20:00,Al-Nassr,Al Ahli SC,0,2,
463,08.11.2003,20:00,Al Wehda,Al-Shabab,1,3,
464,12.11.2003,20:00,Al Riyadh,Al-Hilal,1,2,
465,12.11.2003,20:00,Al Qadisiya,Al Khaleej,1,0,
466,13.11.2003,20:00,Al-Shabab,Al-Shoalah,3,1,
467,13.11.2003,20:00,Al-Ettifaq,Al Taee,0,2,
468,13.11.2003,20:00,Al Wehda,Al-Nassr,1,3,
469,13.11.2003,20:00,Al Ahli SC,Al-Ittihad FC,1,1,
470,16.11.2003,20:00,Al-Shabab,Al Ahli SC,1,0,
471,16.11.2003,20:00,Al-Ittihad FC,Al-Nassr,2,1,
472,16.11.2003,20:00,Al Qadisiya,Al-Hilal,0,2,
473,19.11.2003,20:00,Al Ahli SC,Al Qadisiya,1,1,
474,28.11.2003,20:00,Al Taee,Al-Shabab,2,0,
475,29.11.2003,20:00,Al-Ittihad FC,Al Khaleej,4,0,
476,29.11.2003,20:00,Al-Hilal,Al-Ettifaq,1,0,
477,29.11.2003,20:00,Al Wehda,Al Ahli SC,0,1,
478,30.11.2003,20:00,Al-Shoalah,Al-Nassr,1,4,
479,30.11.2003,20:00,Al Riyadh,Al Qadisiya,1,2,
480,08.12.2003,20:00,Al-Nassr,Al Taee,0,3,
481,08.12.2003,20:00,Al Qadisiya,Al-Ettifaq,0,4,
482,08.12.2003,20:00,Al Khaleej,Al Riyadh,1,1,
483,15.01.2004,20:00,Al-Shoalah,Al Wehda,1,0,
484,15.01.2004,20:00,Al-Ittihad FC,Al Riyadh,3,0,
485,15.01.2004,20:00,Al-Hilal,Al-Nassr,1,2,
486,15.01.2004,20:00,Al Taee,Al Ahli SC,0,0,
487,16.01.2004,20:00,Al-Shabab,Al Qadisiya,3,1,
488,16.01.2004,20:00,Al-Ettifaq,Al Khaleej,2,0,
489,16.01.2004,20:00,Al Riyadh,Al-Ettifaq,0,2,
490,20.01.2004,20:00,Al-Shoalah,Al-Ittihad FC,0,1,
491,20.01.2004,20:00,Al-Nassr,Al Qadisiya,0,1,
492,22.01.2004,20:00,Al Wehda,Al Taee,2,1,
493,22.01.2004,20:00,Al Khaleej,Al-Shabab,0,2,
494,26.01.2004,20:00,Al-Hilal,Al Wehda,3,1,
495,26.01.2004,20:00,Al Qadisiya,Al Ahli SC,1,1,
496,27.01.2004,20:00,Al-Ettifaq,Al-Ittihad FC,0,3,
497,28.01.2004,20:00,Al-Shabab,Al Riyadh,5,0,
498,28.01.2004,20:00,Al Taee,Al-Shoalah,0,1,
499,28.01.2004,20:00,Al Khaleej,Al-Nassr,2,3,
500,05.02.2004,20:00,Al Qadisiya,Al Wehda,1,2,
501,07.02.2004,20:00,Al-Nassr,Al Riyadh,0,1,
502,09.02.2004,20:00,Al-Ittihad FC,Al Taee,6,0,
503,09.02.2004,20:00,Al-Hilal,Al-Shoalah,6,0,
504,09.02.2004,20:00,Al-Ettifaq,Al-Shabab,1,1,
505,10.02.2004,20:00,Al Ahli SC,Al Khaleej,3,1,
506,13.02.2004,20:00,Al-Nassr,Al-Ettifaq,0,2,
507,13.02.2004,20:00,Al Taee,Al-Hilal,0,1,
508,14.02.2004,20:00,Al-Shoalah,Al Qadisiya,0,0,
509,15.02.2004,20:00,Al Wehda,Al Khaleej,2,1,
510,15.02.2004,20:00,Al Riyadh,Al Ahli SC,0,2,
511,19.02.2004,20:00,Al Riyadh,Al Wehda,4,2,
512,19.02.2004,20:00,Al Khaleej,Al-Shoalah,3,2,
513,20.02.2004,20:00,Al-Shabab,Al-Nassr,6,1,
514,20.02.2004,20:00,Al Qadisiya,Al Taee,1,1,
515,18.03.2004,20:00,Al-Shoalah,Al Riyadh,2,1,
516,18.03.2004,20:00,Al-Hilal,Al Qadisiya,3,0,
517,18.03.2004,20:00,Al Wehda,Al-Ettifaq,0,2,
518,18.03.2004,20:00,Al Ahli SC,Al-Shabab,1,1,
519,19.03.2004,20:00,Al-Nassr,Al-Ittihad FC,1,1,
520,19.03.2004,20:00,Al Taee,Al Khaleej,2,1,
521,23.03.2004,20:00,Al Khaleej,Al-Hilal,0,3,
522,29.03.2004,19:00,Al-Shabab,Al-Hilal,1,0,
523,29.03.2004,19:00,Al Wehda,Al-Ittihad FC,0,3,
524,01.04.2004,19:00,Al Ahli SC,Al-Shoalah,4,1,
525,11.04.2004,19:00,Al-Ittihad FC,Al-Hilal,1,0,
526,19.04.2004,19:00,Al-Ettifaq,Al Ahli SC,0,2,
527,23.04.2004,19:00,Al-Shabab,Al-Ittihad FC,1,1,
528,25.04.2004,19:00,Al Ahli SC,Al-Hilal,2,1,
529,27.04.2004,19:00,Al Qadisiya,Al-Ittihad FC,0,1,
530,05.05.2004,19:00,Al-Shabab,Al Wehda,0,0,
531,05.05.2004,19:00,Al-Ettifaq,Al-Shoalah,3,0,
532,05.05.2004,19:00,Al Riyadh,Al Taee,3,0,
533,05.05.2004,19:00,Al Ahli SC,Al-Nassr,2,1,
534,11.05.2004,19:00,Al-Ittihad FC,Al Ahli SC,3,3,
535,13.05.2004,19:00,Al-Shoalah,Al-Shabab,0,1,
536,13.05.2004,19:00,Al-Nassr,Al Wehda,2,2,
537,13.05.2004,19:00,Al-Hilal,Al Riyadh,4,1,
538,13.05.2004,19:00,Al Taee,Al-Ettifaq,0,3,
539,13.05.2004,19:00,Al Khaleej,Al Qadisiya,0,1,
540,23.05.2004,18:30,Al-Hilal,Al Ahli SC,1,5,Quarter-finals
541,27.05.2004,18:30,Al-Shabab,Al Ahli SC,2,1,Semi-finals
542,18.06.2004,18:30,Al-Ittihad FC,Al-Shabab,0,1,Final
543,27.08.2004,19:00,Al-Ittihad FC,Ohod,4,1,
544,27.08.2004,19:00,Al-Hilal,Al Taee,4,0,
545,27.08.2004,19:00,Al-Ettifaq,Al Wehda,2,0,
546,28.08.2004,19:00,Al-Shabab,Al Ansar,4,0,
547,28.08.2004,19:00,Al Qadisiya,Al-Nassr,1,2,
548,28.08.2004,19:00,Al Ahli SC,Al Riyadh,2,0,
549,02.09.2004,19:00,Ohod,Al-Shabab,0,2,
550,02.09.2004,19:00,Al-Nassr,Al-Ettifaq,1,0,
551,02.09.2004,19:00,Al Wehda,Al Ahli SC,3,0,
552,02.09.2004,19:00,Al Taee,Al-Ittihad FC,2,0,
553,02.09.2004,19:00,Al Qadisiya,Al-Hilal,3,3,
554,03.09.2004,19:00,Al Riyadh,Al Ansar,1,1,
555,06.09.2004,19:00,Al-Ettifaq,Al-Ittihad FC,1,1,
556,09.09.2004,19:00,Al Taee,Ohod,2,0,
557,09.09.2004,19:00,Al Riyadh,Al-Shabab,0,1,
558,09.09.2004,19:00,Al Ansar,Al Wehda,1,0,
559,10.09.2004,19:00,Al-Nassr,Al Ahli SC,3,1,
560,15.09.2004,19:00,Al Ansar,Al-Nassr,1,2,
561,15.09.2004,19:00,Al Ahli SC,Al-Hilal,3,0,
562,16.09.2004,19:00,Ohod,Al Qadisiya,1,1,
563,16.09.2004,19:00,Al-Shabab,Al Taee,2,1,
564,16.09.2004,19:00,Al Wehda,Al Riyadh,3,2,
565,22.09.2004,19:00,Al-Hilal,Al Ansar,0,1,
566,22.09.2004,19:00,Al Wehda,Al-Shabab,1,1,
567,22.09.2004,19:00,Al Qadisiya,Al Taee,3,1,
568,23.09.2004,19:00,Al-Ettifaq,Ohod,1,1,
569,23.09.2004,19:00,Al Riyadh,Al-Nassr,3,1,
570,26.09.2004,19:00,Al Ahli SC,Al-Ittihad FC,2,4,
571,29.09.2004,19:00,Al-Shabab,Al Qadisiya,2,0,
572,30.09.2004,19:00,Al-Nassr,Al Wehda,6,2,
573,01.10.2004,19:00,Ohod,Al Ahli SC,0,5,
574,01.10.2004,19:00,Al-Ittihad FC,Al Ansar,4,0,
575,01.10.2004,19:00,Al Taee,Al-Ettifaq,1,0,
576,01.10.2004,19:00,Al Riyadh,Al-Hilal,1,1,
577,08.10.2004,19:00,Al-Ittihad FC,Al Qadisiya,2,0,
578,10.10.2004,19:00,Al-Hilal,Al-Ettifaq,1,0,
579,15.10.2004,19:00,Al Wehda,Al-Ittihad FC,2,2,
580,15.10.2004,19:00,Al Taee,Al Ansar,1,1,
581,15.10.2004,19:00,Al Riyadh,Ohod,1,0,
582,16.10.2004,19:00,Al-Hilal,Al-Nassr,2,0,
583,16.10.2004,19:00,Al Qadisiya,Al Ahli SC,2,1,
584,17.10.2004,19:00,Al-Shabab,Al-Ettifaq,0,0,
585,21.10.2004,19:00,Al-Shabab,Al-Hilal,1,2,
586,21.10.2004,19:00,Al Ansar,Al Qadisiya,0,1,
587,22.10.2004,19:00,Ohod,Al Wehda,2,1,
588,22.10.2004,19:00,Al Taee,Al Riyadh,3,1,
589,27.10.2004,19:00,Al-Nassr,Ohod,2,0,
590,27.10.2004,19:00,Al Wehda,Al Taee,3,2,
591,27.10.2004,19:00,Al Qadisiya,Al Riyadh,1,1,
592,27.10.2004,19:00,Al Ansar,Al-Ettifaq,1,1,
593,29.10.2004,19:00,Al Ahli SC,Al-Shabab,1,0,
594,01.11.2004,20:00,Al-Nassr,Al-Shabab,0,2,
595,01.11.2004,20:00,Al-Ettifaq,Al Qadisiya,0,0,
596,01.11.2004,20:00,Al Ansar,Ohod,3,1,
597,01.11.2004,20:00,Al Ahli SC,Al Taee,3,0,
598,02.11.2004,20:00,Al Wehda,Al-Hilal,0,3,
599,08.11.2004,20:00,Al-Ittihad FC,Al Riyadh,4,1,
600,19.11.2004,20:00,Ohod,Al-Hilal,1,3,
601,19.11.2004,20:00,Al-Shabab,Al-Ittihad FC,1,1,
602,19.11.2004,20:00,Al Ahli SC,Al Ansar,6,1,
603,20.11.2004,20:00,Al Taee,Al-Nassr,2,0,
604,20.11.2004,20:00,Al Riyadh,Al-Ettifaq,2,1,
605,20.11.2004,20:00,Al Qadisiya,Al Wehda,1,1,
606,27.12.2004,20:00,Al-Ettifaq,Al Ahli SC,0,1,
607,27.12.2004,20:00,Al Ansar,Al-Hilal,1,3,
608,28.12.2004,20:00,Al-Ittihad FC,Al-Nassr,1,1,
609,31.12.2004,20:00,Ohod,Al Taee,0,1,
610,31.12.2004,20:00,Al Ahli SC,Al Wehda,1,0,
611,05.01.2005,20:00,Ohod,Al-Ittihad FC,1,3,
612,05.01.2005,20:00,Al Taee,Al-Hilal,1,2,
613,05.01.2005,20:00,Al Riyadh,Al Ahli SC,2,2,
614,06.01.2005,20:00,Al-Nassr,Al Qadisiya,2,1,
615,06.01.2005,20:00,Al Wehda,Al-Ettifaq,1,0,
616,06.01.2005,20:00,Al Ansar,Al-Shabab,3,6,
617,12.01.2005,20:00,Al-Shabab,Ohod,3,1,
618,12.01.2005,20:00,Al-Ettifaq,Al-Nassr,0,0,
619,12.01.2005,20:00,Al Ansar,Al Riyadh,2,1,
620,14.01.2005,20:00,Al-Ittihad FC,Al Taee,3,0,
621,14.01.2005,20:00,Al-Hilal,Al Qadisiya,1,0,
622,16.01.2005,20:00,Al-Shabab,Al Riyadh,3,1,
623,16.01.2005,20:00,Al Wehda,Al Ansar,1,1,
624,17.01.2005,20:00,Al-Ettifaq,Al-Hilal,0,3,
625,30.01.2005,20:00,Al-Hilal,Al-Ittihad FC,4,2,
626,02.02.2005,20:00,Al Taee,Al-Shabab,0,2,
627,02.02.2005,20:00,Al Riyadh,Al Wehda,1,2,
628,03.02.2005,20:00,Al-Nassr,Al Ansar,3,2,
629,04.02.2005,20:00,Al-Hilal,Al Ahli SC,2,1,
630,05.02.2005,20:00,Al-Ittihad FC,Al-Ettifaq,4,3,
631,05.02.2005,20:00,Al Qadisiya,Ohod,2,1,
632,22.02.2005,20:00,Al-Shabab,Al Wehda,2,1,
633,24.02.2005,20:00,Al-Nassr,Al Riyadh,3,1,
634,24.02.2005,20:00,Al Taee,Al Qadisiya,1,2,
635,26.02.2005,20:00,Ohod,Al-Ettifaq,1,2,
636,26.02.2005,20:00,Al-Ittihad FC,Al Ahli SC,3,2,
637,28.02.2005,20:00,Al Qadisiya,Al-Shabab,1,2,
638,10.03.2005,20:00,Al-Hilal,Al Riyadh,1,1,
639,10.03.2005,20:00,Al-Ettifaq,Al Taee,4,0,
640,10.03.2005,20:00,Al Wehda,Al-Nassr,2,2,
641,10.03.2005,20:00,Al Ansar,Al-Ittihad FC,3,2,
642,15.03.2005,20:00,Al Qadisiya,Al-Ittihad FC,3,2,
643,20.03.2005,20:00,Ohod,Al Ansar,2,2,
644,20.03.2005,20:00,Al Riyadh,Al-Ittihad FC,1,4,
645,20.03.2005,20:00,Al Qadisiya,Al-Ettifaq,1,1,
646,21.03.2005,20:00,Al-Hilal,Al Wehda,1,1,
647,22.03.2005,20:00,Al-Shabab,Al-Nassr,1,1,
648,22.03.2005,20:00,Al Taee,Al Ahli SC,1,1,
649,27.03.2005,19:00,Al Ahli SC,Al-Nassr,2,3,
650,04.05.2005,19:00,Ohod,Al Riyadh,2,2,
651,04.05.2005,19:00,Al-Ittihad FC,Al Wehda,3,3,
652,04.05.2005,19:00,Al-Ettifaq,Al-Shabab,0,3,
653,05.05.2005,19:00,Al-Nassr,Al-Hilal,1,1,
654,05.05.2005,19:00,Al Ansar,Al Taee,3,2,
655,08.05.2005,19:00,Al Ahli SC,Al Qadisiya,2,0,
656,12.05.2005,19:00,Al Wehda,Ohod,5,0,
657,12.05.2005,19:00,Al Riyadh,Al Taee,2,1,
658,17.05.2005,19:00,Ohod,Al-Nassr,3,1,
659,17.05.2005,19:00,Al-Ettifaq,Al Ansar,4,0,
660,17.05.2005,19:00,Al Taee,Al Wehda,1,0,
661,18.05.2005,19:00,Al Riyadh,Al Qadisiya,1,1,
662,26.05.2005,19:00,Al Qadisiya,Al Ansar,6,3,
663,28.05.2005,19:00,Al-Ittihad FC,Al-Hilal,2,1,
664,29.05.2005,19:00,Al Ahli SC,Ohod,3,0,
665,31.05.2005,19:00,Al Wehda,Al Qadisiya,3,2,
666,02.06.2005,19:00,Al-Shabab,Al Ahli SC,1,1,
667,11.06.2005,19:00,Al-Hilal,Al-Shabab,1,1,
668,12.06.2005,19:00,Al-Nassr,Al-Ittihad FC,3,2,
669,12.06.2005,19:00,Al Ahli SC,Al-Ettifaq,0,3,
670,16.06.2005,19:00,Al-Nassr,Al Taee,0,1,
671,16.06.2005,19:00,Al-Ittihad FC,Al-Shabab,0,2,
672,16.06.2005,19:00,Al-Hilal,Ohod,2,0,
673,16.06.2005,19:00,Al Ansar,Al Ahli SC,1,1,
674,18.06.2005,19:00,Al-Ettifaq,Al Riyadh,3,1,
675,20.06.2005,18:30,Al-Ittihad FC,Al-Nassr,6,0,Quarter-finals
676,07.07.2005,18:30,Al-Hilal,Al-Ittihad FC,1,0,Semi-finals
677,15.07.2005,18:30,Al-Shabab,Al-Hilal,0,1,Final
678,21.09.2005,19:00,Al Qadisiya,Al Wehda,2,1,
679,27.09.2005,19:00,Al-Hilal,Abha,3,2,
680,28.09.2005,19:00,Al-Shabab,Al-Hazem,4,2,
681,01.10.2005,19:00,Al Ansar,Abha,1,1,
682,02.10.2005,19:00,Al-Hazem,Al-Hilal,1,2,
683,02.10.2005,19:00,Al Wehda,Al Ahli SC,1,5,
684,02.10.2005,19:00,Al Qadisiya,Al-Nassr,2,1,
685,03.10.2005,19:00,Al-Ettifaq,Al-Shabab,2,2,
686,07.10.2005,19:00,Al Wehda,Al-Ittihad FC,1,1,
687,08.10.2005,19:00,Al-Shabab,Al Qadisiya,6,1,
688,08.10.2005,19:00,Al-Ettifaq,Al-Hazem,2,2,
689,08.10.2005,19:00,Abha,Al Taee,1,3,
690,11.10.2005,19:00,Al-Nassr,Al Ahli SC,1,1,
691,12.10.2005,19:00,Al-Hilal,Al-Ettifaq,2,0,
692,12.10.2005,19:00,Al-Hazem,Al Qadisiya,1,1,
693,12.10.2005,19:00,Abha,Al Wehda,1,7,
694,13.10.2005,19:00,Al Taee,Al Ansar,0,0,
695,16.10.2005,19:00,Al Ahli SC,Al-Shabab,2,2,
696,17.10.2005,19:00,Al Ansar,Al-Hilal,0,2,
697,21.10.2005,19:00,Al Qadisiya,Al-Ettifaq,2,1,
698,22.10.2005,19:00,Al-Nassr,Abha,1,0,
699,22.10.2005,19:00,Al Taee,Al-Hilal,1,0,
700,22.10.2005,19:00,Al Ansar,Al Wehda,1,3,
701,22.10.2005,19:00,Al Ahli SC,Al-Hazem,3,0,
702,10.11.2005,20:00,Al-Ettifaq,Al Ahli SC,0,0,
703,11.11.2005,20:00,Al-Shabab,Abha,4,0,
704,11.11.2005,20:00,Al Wehda,Al Taee,3,1,
705,12.11.2005,20:00,Al-Hilal,Al Qadisiya,1,0,
706,12.11.2005,20:00,Al-Hazem,Al-Ittihad FC,3,7,
707,13.11.2005,20:00,Al-Nassr,Al Ansar,1,1,
708,17.11.2005,20:00,Al Ahli SC,Al Qadisiya,1,1,
709,18.11.2005,20:00,Al Wehda,Al-Hilal,1,2,
710,18.11.2005,20:00,Abha,Al-Hazem,1,3,
711,19.11.2005,20:00,Al Ansar,Al-Shabab,3,5,
712,21.11.2005,20:00,Al Ahli SC,Al Taee,2,0,
713,24.11.2005,20:00,Al-Ettifaq,Abha,3,2,
714,25.11.2005,20:00,Al Ansar,Al-Hazem,0,0,
715,26.11.2005,20:00,Al-Hilal,Al Ahli SC,4,1,
716,26.11.2005,20:00,Al Taee,Al-Shabab,1,2,
717,26.11.2005,20:00,Al Qadisiya,Al-Ittihad FC,2,4,
718,27.11.2005,20:00,Al-Nassr,Al Wehda,1,1,
719,02.12.2005,20:00,Al-Hilal,Al-Nassr,1,1,
720,02.12.2005,20:00,Al-Hazem,Al Taee,1,1,
721,02.12.2005,20:00,Al-Ettifaq,Al Ansar,1,0,
722,03.12.2005,20:00,Al-Shabab,Al Wehda,3,0,
723,03.12.2005,20:00,Abha,Al Qadisiya,1,0,
724,07.12.2005,20:00,Al-Nassr,Al-Ettifaq,1,0,
725,09.12.2005,20:00,Al Wehda,Al-Hazem,0,1,
726,09.12.2005,20:00,Abha,Al Ahli SC,2,2,
727,11.12.2005,20:00,Al-Nassr,Al-Shabab,1,3,
728,11.12.2005,20:00,Al Taee,Al-Ettifaq,2,1,
729,11.12.2005,20:00,Al Qadisiya,Al Ansar,2,0,
730,15.12.2005,20:00,Al Qadisiya,Al Taee,2,2,
731,15.12.2005,20:00,Al Ansar,Al Ahli SC,1,3,
732,16.12.2005,20:00,Al-Ettifaq,Al Wehda,1,2,
733,18.12.2005,20:00,Al-Hilal,Al-Shabab,1,1,
734,22.12.2005,20:00,Al Wehda,Al Qadisiya,1,1,
735,22.12.2005,20:00,Al Taee,Al Ahli SC,0,0,
736,23.12.2005,20:00,Al-Hazem,Al-Shabab,0,0,
737,23.12.2005,20:00,Al Ansar,Al-Ittihad FC,0,4,
738,23.12.2005,20:00,Abha,Al-Hilal,0,5,
739,06.01.2006,20:00,Al Ahli SC,Al Wehda,0,1,
740,07.01.2006,20:00,Al-Shabab,Al-Ettifaq,1,0,
741,07.01.2006,20:00,Al-Ittihad FC,Al Taee,1,0,
742,07.01.2006,20:00,Al-Hilal,Al-Hazem,2,2,
743,14.01.2006,20:00,Al-Hazem,Al-Ettifaq,1,3,
744,14.01.2006,20:00,Al Taee,Abha,1,2,
745,14.01.2006,20:00,Al Qadisiya,Al-Shabab,0,3,
746,14.01.2006,20:00,Al Ahli SC,Al-Nassr,3,0,
747,15.01.2006,20:00,Al-Ittihad FC,Al Wehda,2,1,
748,15.01.2006,20:00,Al-Hilal,Al Ansar,3,1,
749,19.01.2006,20:00,Al-Nassr,Al-Ittihad FC,1,1,
750,19.01.2006,20:00,Al Wehda,Abha,2,2,
751,19.01.2006,20:00,Al Qadisiya,Al-Hazem,0,1,
752,20.01.2006,20:00,Al-Shabab,Al Ahli SC,1,2,
753,20.01.2006,20:00,Al-Ettifaq,Al-Hilal,1,1,
754,20.01.2006,20:00,Al Ansar,Al Taee,1,1,
755,23.01.2006,20:00,Al-Ittihad FC,Abha,1,0,
756,26.01.2006,20:00,Al-Hilal,Al Taee,0,2,
757,26.01.2006,20:00,Al-Hazem,Al Ahli SC,1,1,
758,26.01.2006,20:00,Al Wehda,Al Ansar,0,0,
759,27.01.2006,20:00,Al-Shabab,Al-Ittihad FC,1,1,
760,27.01.2006,20:00,Al-Ettifaq,Al Qadisiya,2,1,
761,27.01.2006,20:00,Abha,Al-Nassr,2,2,
762,02.02.2006,20:00,Abha,Al Ansar,2,3,
763,03.02.2006,20:00,Al-Hazem,Al-Nassr,2,2,
764,09.02.2006,20:00,Al-Ittihad FC,Al-Hazem,0,2,
765,10.02.2006,20:00,Al Taee,Al Wehda,1,1,
766,10.02.2006,20:00,Al Ansar,Al-Nassr,1,2,
767,11.02.2006,20:00,Al Ahli SC,Al-Ettifaq,0,1,
768,11.02.2006,20:00,Abha,Al-Shabab,0,1,
769,13.02.2006,20:00,Al-Ittihad FC,Al-Hilal,2,2,
770,16.02.2006,20:00,Al-Nassr,Al Taee,3,2,
771,16.02.2006,20:00,Al-Hazem,Abha,3,1,
772,16.02.2006,20:00,Al Qadisiya,Al Ahli SC,0,3,
773,17.02.2006,20:00,Al-Shabab,Al Ansar,2,1,
774,17.02.2006,20:00,Al-Ettifaq,Al-Ittihad FC,2,2,
775,18.02.2006,20:00,Al-Hilal,Al Wehda,4,0,
776,20.02.2006,20:00,Al Taee,Al-Ittihad FC,3,4,
777,21.02.2006,20:00,Al-Ettifaq,Al-Nassr,1,0,
778,23.02.2006,20:00,Al Ahli SC,Al-Hilal,2,3,
779,24.02.2006,20:00,Al-Shabab,Al Taee,2,0,
780,24.02.2006,20:00,Al-Ittihad FC,Al Qadisiya,2,0,
781,24.02.2006,20:00,Al-Hazem,Al Ansar,2,0,
782,26.02.2006,20:00,Al Wehda,Al-Nassr,3,2,
783,26.02.2006,20:00,Abha,Al-Ettifaq,1,0,
784,28.02.2006,20:00,Al-Ittihad FC,Al-Shabab,1,2,
785,03.03.2006,20:00,Al-Nassr,Al-Hilal,1,2,
786,04.03.2006,20:00,Al Taee,Al-Hazem,0,1,
787,04.03.2006,20:00,Al Qadisiya,Abha,2,1,
788,04.03.2006,20:00,Al Ansar,Al-Ettifaq,0,2,
789,05.03.2006,20:00,Al-Ittihad FC,Al Ahli SC,2,2,
790,09.03.2006,20:00,Al-Nassr,Al Qadisiya,0,0,
791,09.03.2006,20:00,Al-Ittihad FC,Al-Ettifaq,1,1,
792,13.03.2006,20:00,Al-Ittihad FC,Al Ansar,5,2,
793,16.03.2006,20:00,Al-Shabab,Al-Nassr,1,2,
794,16.03.2006,20:00,Al-Ettifaq,Al Taee,4,0,
795,17.03.2006,20:00,Al-Hilal,Al-Ittihad FC,0,1,
796,17.03.2006,20:00,Al-Hazem,Al Wehda,2,3,
797,17.03.2006,20:00,Al Ahli SC,Abha,7,1,
798,18.03.2006,20:00,Al Ansar,Al Qadisiya,0,1,
799,23.03.2006,20:00,Al Taee,Al-Nassr,2,4,
800,23.03.2006,20:00,Al Ahli SC,Al-Ittihad FC,1,1,
801,27.03.2006,19:00,Al-Ittihad FC,Al-Nassr,1,1,
802,27.03.2006,19:00,Al Wehda,Al-Shabab,1,1,
803,27.03.2006,19:00,Al Qadisiya,Al-Hilal,1,0,
804,01.04.2006,19:00,Al-Shabab,Al-Hilal,0,1,
805,01.04.2006,19:00,Al-Nassr,Al-Hazem,4,2,
806,01.04.2006,19:00,Al Wehda,Al-Ettifaq,2,3,
807,01.04.2006,19:00,Al Taee,Al Qadisiya,1,2,
808,01.04.2006,19:00,Al Ahli SC,Al Ansar,4,0,
809,01.04.2006,19:00,Abha,Al-Ittihad FC,1,3,
