matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
93,14.02.2001,20:00,Al-Ittihad FC,Al-Ettifaq,2,1,
94,14.02.2001,20:00,Al Riyadh,Al Wehda,3,0,
95,14.02.2001,20:00,Al Qadisiya,Al Ahli SC,0,1,
96,15.02.2001,20:00,Sdoos,Al-Nassr,1,3,
97,16.02.2001,20:00,Al-Hilal,Al Najma,3,0,
98,16.02.2001,20:00,Al Ansar,Al-Shabab,3,2,
99,18.02.2001,20:00,Al Riyadh,Al-Ittihad FC,0,2,
100,18.02.2001,20:00,Al Ahli SC,Sdoos,6,0,
101,19.02.2001,20:00,Al-Hilal,Al Wehda,4,0,
102,22.02.2001,20:00,Al-Ettifaq,Al-Hilal,0,1,
103,22.02.2001,20:00,Al Wehda,Al-Nassr,1,2,
104,22.02.2001,20:00,Al Najma,Al-Shabab,1,2,
105,22.02.2001,20:00,Al Ahli SC,Al-Ittihad FC,1,1,
106,23.02.2001,20:00,Al Qadisiya,Al Ansar,1,1,
107,26.02.2001,20:00,Al-Ittihad FC,Al-Hilal,1,2,
108,26.02.2001,20:00,Al Wehda,Al Ahli SC,1,5,
109,26.02.2001,20:00,Al Riyadh,Al-Nassr,0,1,
110,27.02.2001,20:00,Al Najma,Al Qadisiya,0,1,
111,27.02.2001,20:00,Al Ansar,Sdoos,1,2,
112,02.03.2001,20:00,Al Riyadh,Al-Hilal,1,6,
113,02.03.2001,20:00,Al Qadisiya,Al-Ittihad FC,2,3,
114,19.03.2001,20:00,Al-Hilal,Sdoos,1,0,
115,21.03.2001,20:00,Al-Nassr,Al-Ittihad FC,2,1,
116,21.03.2001,20:00,Al Ansar,Al Wehda,1,1,
117,21.03.2001,20:00,Al Ahli SC,Al Riyadh,5,1,
118,22.03.2001,20:00,Al-Shabab,Al-Hilal,1,2,
119,22.03.2001,20:00,Al Qadisiya,Al-Ettifaq,2,2,
120,22.03.2001,20:00,Al Najma,Sdoos,1,0,
121,25.03.2001,19:00,Al Riyadh,Al Ansar,3,0,
122,25.03.2001,19:00,Al Ahli SC,Al-Nassr,4,2,
123,26.03.2001,19:00,Sdoos,Al-Ettifaq,3,2,
124,26.03.2001,19:00,Al-Ittihad FC,Al-Shabab,0,0,
125,26.03.2001,19:00,Al-Hilal,Al Qadisiya,2,2,
126,26.03.2001,19:00,Al Wehda,Al Najma,1,2,
127,04.04.2001,19:00,Al-Shabab,Al Qadisiya,3,1,
128,04.04.2001,19:00,Al-Ettifaq,Al Wehda,3,2,
129,04.04.2001,19:00,Al Najma,Al Riyadh,2,1,
130,05.04.2001,19:00,Al-Ittihad FC,Al Ahli SC,1,3,
131,10.04.2001,19:00,Sdoos,Al-Hilal,1,2,
132,10.04.2001,19:00,Al Ansar,Al-Nassr,3,2,
133,18.04.2001,18:30,Al Ahli SC,Al-Ittihad FC,0,0,Semi-finals
134,19.04.2001,18:30,Al-Hilal,Al-Nassr,0,1,Semi-finals
135,25.04.2001,18:30,Al-Ittihad FC,Al Ahli SC,4,2,Semi-finals
136,26.04.2001,18:30,Al-Nassr,Al-Hilal,0,0,Semi-finals
137,09.05.2001,18:30,Al-Ittihad FC,Al-Nassr,1,0,Final
138,10.10.2001,19:00,Al-Shoalah,Al-Ittihad FC,2,1,
139,10.10.2001,19:00,Al-Ettifaq,Al Riyadh,2,1,
140,10.10.2001,19:00,Al Wehda,Al-Hilal,1,2,
141,11.10.2001,19:00,Al-Nassr,Al Taee,2,1,
142,11.10.2001,19:00,Al Najma,Al Ahli SC,0,1,
143,12.10.2001,19:00,Al-Shabab,Al Ansar,1,1,
144,14.10.2001,19:00,Al-Ettifaq,Al-Ittihad FC,1,3,
145,17.10.2001,19:00,Al-Ittihad FC,Al Taee,4,1,
146,17.10.2001,19:00,Al-Ettifaq,Al Ahli SC,0,4,
147,17.10.2001,19:00,Al Wehda,Al-Nassr,0,1,
148,17.10.2001,19:00,Al Ansar,Al Riyadh,0,2,
149,18.10.2001,19:00,Al-Shoalah,Al Najma,2,0,
150,18.10.2001,19:00,Al-Hilal,Al-Shabab,1,0,
